section,epic_id,manual_label,cnn_score,primary_depth_snr,odd_even_depth_ratio,oot_to_depth,candidate_period_count,alias_risk,fallback_period_flag,duration_fraction_of_period,failure_mode,autovet_v2_penalty,autovet_v2_score,autovet_v2_label,autovet_v2_flags,manual_reason
A. CNN high-confidence false positives,EPIC_211995966,reject_as_noise_or_artifact,0.878716,3.36636,0.952,,3,moderate,false,,cnn_high_confidence_false_positive,0.18,0.560105,autovet_v2_reject_noise_or_artifact,validation_reject_context,"Weird / ambiguous noise: something but nothing. Stage F already rejected it because primary transit depth is not significant in cached folded light curve. Primary SNR is very weak: 2.73. Event support is thin: event_family_count = 3. Alias risk = moderate. Odd/even is good: ratio = 0.952, but weak primary detection dominates. CNN score = 0.879 is morphology-only and does not override Stage F rejection."
A. CNN high-confidence false positives,EPIC_212009427,variable_or_possible_eb,0.854064,13.0927,0.975,,3383,moderate,true,,cnn_high_confidence_false_positive,0.06,0.62094,autovet_v2_review_signal_with_caveats,fallback_period_context,"Signal is real-looking, but morphology suggests EB / variable-star-like false positive. Folded light curve and transit zoom show a broad deep event embedded in variability. Raw and detrended curves show strong repetitive variability. Secondary check is structured rather than clean/flat. Secondary depth is negative, not a clean positive secondary, but still suspicious in context. Odd/even agreement is excellent: ratio = 0.975. OOT/depth is high: 0.505. Alias risk = moderate. Strong half-period support: support_ratio = 0.867. Candidate period count = 3383."
A. CNN high-confidence false positives,EPIC_212020442,reject_as_noise_or_artifact,0.896793,55.3006,0.815,,0,moderate,true,,cnn_high_confidence_false_positive,0.06,0.660691,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review indicates no convincing period / period solution not trustworthy. Primary depth is shallow: 0.000683. SNR is weak: 7.60. Odd/even only moderate: ratio = 0.815. Alias risk = moderate. Strong alternate-period support: alias_best_period_days = 11.768625, support_ratio = 0.875. Master next action was run_period_search_before_label_update. Treat as period failure / noise, not candidate."
B. CNN high-confidence holds,EPIC_211356395,uncertain_hold,0.907269,10.4772,,,0,,true,,cnn_high_confidence_hold,0.06,0.630319,autovet_v2_review_signal_with_caveats,fallback_period_context,"Visible shallow folded dip with good odd/even consistency and no secondary eclipse; OOT variability acceptable at about 0.30 of depth; primary SNR is modest and period support is fallback/ambiguous, so hold for Stage F validation rather than direct promotion."
B. CNN high-confidence holds,EPIC_211371463,uncertain_hold,0.927414,89.4649,,1.9,0,,true,,cnn_high_confidence_hold,0.06,0.633012,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Strong dip morphology and excellent odd/even consistency, but OOT variability is about 1.9x the transit depth, duration is long for P=2.84d, and period source is fallback-only; hold pending better OOT/detrending validation."
B. CNN high-confidence holds,EPIC_211409713,uncertain_hold,0.965678,35.0213,,,0,moderate,true,,cnn_high_confidence_hold,0.06,0.656154,autovet_v2_review_signal_with_caveats,fallback_period_context,"Strong and clean folded transit morphology with high primary SNR, plausible depth, short duration, low OOT variability relative to depth, and no significant secondary eclipse. However odd/even is unavailable and alias risk is moderate, with stronger support at the double-period alias, so keep as uncertain hold pending Stage F period/odd-even validation rather than direct candidate promotion."
B. CNN high-confidence holds,EPIC_211512262,uncertain_hold,0.980781,21.0511,0.981,,0,low,true,,cnn_high_confidence_hold,0.06,0.633152,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Very shallow but coherent transit-like signal with excellent odd/even consistency, ratio about 0.981 and explicit delta about 0.019, no detected secondary eclipse, low alias risk, high CNN morphology score, and locally enhanced cutouts showing repeated weak dips in several events. However the primary depth is tiny at about 0.000104, primary SNR is weak/modest at about 3.50, event support is limited, and the period source is event-spacing fallback. Keep as uncertain hold pending Stage F period validation and improved stacked/local cutout review rather than direct candidate promotion."
B. CNN high-confidence holds,EPIC_211745624,uncertain_hold,0.96026,5.16812,0.992,0.49,0,,true,,cnn_high_confidence_hold,0.06,0.625657,autovet_v2_review_signal_with_caveats,fallback_period_context,"Transit-like signal has excellent odd/even consistency with ratio about 0.992 and explicit delta about 0.0075, no significant secondary eclipse, plausible depth around 0.0043, reasonable duration around 1.96 hours, and many event-family members. However primary SNR is weak around 3.49, OOT variability is non-trivial at about 0.49x transit depth, and the period source is event-spacing fallback with many candidate periods. Keep as uncertain hold pending Stage F period validation and OOT/detrending review rather than promote directly."
B. CNN high-confidence holds,EPIC_211770390,uncertain_hold,0.935516,27.2591,0.562,1.26,0,,true,,cnn_high_confidence_hold,0.06,0.643649,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Some signal-like structure may be present and the basic duration is plausible for P=7.46d, with no detected secondary eclipse and high CNN morphology score. However the signal is tough to read visually, primary SNR is modest around 5.36, odd/even consistency is poor with ratio about 0.562 and explicit delta about 0.702, and OOT variability is high at about 1.26x the transit depth. Period source is event-spacing fallback with many candidate periods, so keep only as uncertain hold pending OOT detrending review and Stage F period validation rather than promote."
B. CNN high-confidence holds,EPIC_211805860,uncertain_hold,0.979912,29.669,0.957,1.48,0,review,true,0.0345209,cnn_high_confidence_hold,0.24,0.495754,autovet_v2_reject_noise_or_artifact,fallback_period_context; validation_reject_context,"Manual review keeps this as a cautious hold despite Stage F rejection. Odd/even consistency is good with ratio about 0.957 and explicit delta about 0.044, there is no detected secondary eclipse, the duration is plausible at about 3.43 hours for P=4.14d, and the period source is saved_validation_period. However primary SNR is weak around 4.67, Stage F rejected because the primary transit depth is not significant in the cached folded light curve, and OOT variability is very high at about 1.48x transit depth. Keep as uncertain hold pending OOT detrending review and Stage F period/depth validation rather than promote."
C. Low/moderate CNN positives,EPIC_211357782,candidate_like,0.688861,33.3519,,,0,,true,,low_moderate_cnn_positive,0.06,0.612048,autovet_v2_review_signal_with_caveats,fallback_period_context,Improved plots show a visible repeated dip; odd/even acceptable; no secondary eclipse; physically plausible depth; modest SNR and fallback-only period support require Stage F validation.
D. High-SNR false positives,EPIC_211424769,binary_system,0.696191,85.2574,0.343,,0,,true,,high_snr_false_positive,0.06,0.619933,autovet_v2_review_signal_with_caveats,fallback_period_context,"Strong odd/even depth mismatch with ratio about 0.343 and explicit delta about 0.82, making the signal EB-like rather than planet-like. Primary SNR is only modest, CNN morphology score is moderate, and the period source is event-spacing fallback with many candidate periods, so reject from candidate pipeline despite low OOT variability and no meaningful positive secondary eclipse."
D. High-SNR false positives,EPIC_211493634,noise_or_artifact,0.890358,786.546,0.789,,0,moderate,true,,high_snr_false_positive,0.06,0.622969,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Very shallow signal with modest primary SNR around 8.44, short period at P=0.608d, and only limited event support. Odd/even consistency is not severely bad but is imperfect, with ratio about 0.789 and explicit delta about 0.236. Alias risk is moderate with stronger support at the double-period alias, and the period source is event-spacing fallback with many candidate periods. Plot is noisy and there is no strong planet-like feature to justify holding or promotion despite morphology-positive CNN score."
D. High-SNR false positives,EPIC_211549072,noise_or_artifact,0.990776,86.2838,0.472,,0,review,true,0.272569,high_snr_false_positive,0.06,0.697627,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual plot review does not show a convincing transit-like signal despite very high CNN morphology score. The numerical diagnostics are also unfavorable: shallow primary depth, modest primary SNR around 6.92, very long duration around 7.85 hours for P=1.20d, strong odd/even mismatch with ratio about 0.472 and explicit delta about 0.675, and half-period alias support. Stage F held the object as ambiguous, but manual review overrides the CNN morphology-positive score because the dips are not visually convincing and the signal is not planet-like."
D. High-SNR false positives,EPIC_211573482,binary_system,0.823558,287.911,0.61,1.16,0,,true,,high_snr_false_positive,0.2,0.477256,autovet_v2_false_positive_eb_or_variable,fallback_period_context; eb_or_binary_context,"Signal is present, but diagnostics are unfavorable for a planet-like candidate. Odd/even depth consistency is poor, with ratio about 0.610 and explicit delta about 0.589, suggesting possible EB behavior. OOT variability is very high at about 1.16x the transit depth, meaning the apparent events may be embedded in stellar variability or structured noise. Period source is event-spacing fallback with many candidate periods, and CNN score is only morphology-positive, not promotion authority. Reject from candidate pipeline as likely binary/variable contamination rather than continue holding."
D. High-SNR false positives,EPIC_211683904,noise_or_artifact,0.684117,84.6608,0.812,,0,moderate,true,0.159505,high_snr_false_positive,0.06,0.605994,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review does not show a convincing transit-like dip. The signal is very shallow with modest primary SNR around 5.09, and the apparent duration is long at about 4.90 hours for P=1.28d. Odd/even consistency is only mediocre, with ratio about 0.812 and explicit delta about 0.231. Alias risk is moderate with strong half-period support, and the period source is event-spacing fallback with many candidate periods. Reject as noise/artifact despite morphology-positive CNN score."
D. High-SNR false positives,EPIC_211800810,binary_system,0.681885,88.3513,0.219,,0,,true,0.105804,high_snr_false_positive,0.06,0.615928,autovet_v2_review_signal_with_caveats,fallback_period_context,"Strong odd/even depth mismatch with ratio about 0.219 and explicit delta about 1.19, making the signal EB-like or unreliable rather than planet-like. The signal is also very shallow, with an unusually long apparent duration of about 7.11 hours for P=2.80d. Period source is event-spacing fallback with limited event support and many candidate periods. Reject from candidate pipeline despite no detected secondary eclipse and morphology-positive CNN score."
D. High-SNR false positives,EPIC_211844348,noise_or_artifact,0.80625,59.0231,0.949,,0,,true,,high_snr_false_positive,0.06,0.632132,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review favors noise/artifact despite superficially acceptable diagnostics. The signal is very shallow, and the apparent duration is fairly long at about 5.88 hours. Odd/even consistency is good with ratio about 0.949 and no detected secondary eclipse, but the period source is event-spacing fallback with many candidate periods, and the visual signal is not convincing enough to justify holding. Reject as noise/artifact despite morphology-positive CNN score."
D. High-SNR false positives,EPIC_211902535,noise_or_artifact,0.888558,53.5123,0.68,,0,,true,0.0709877,high_snr_false_positive,0.06,0.622515,autovet_v2_reject_noise_or_artifact,fallback_period_context,"Manual review favors weak noise/artifact rather than a planet-like candidate. The signal is very shallow, with a long apparent duration of about 7.36 hours for P=4.32d, and odd/even consistency is poor with ratio about 0.680 and explicit delta about 0.381. There is no meaningful positive secondary eclipse, and OOT variability is low, but the period source is event-spacing fallback with many candidate periods. Reject as noise/artifact despite morphology-positive CNN score."
D. High-SNR false positives,EPIC_211911273,noise_or_artifact,0.780082,525.129,0.776,,0,,true,0.147716,high_snr_false_positive,0.06,0.643423,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review favors noise/artifact rather than a planet-like candidate. Although the reported primary SNR is very high, the apparent transit duration is extremely long at about 11.77 hours for P=3.32d, suggesting broad variability or folded systematic structure rather than a clean transit. Odd/even consistency is only mediocre with ratio about 0.776 and explicit delta about 0.242, and there is half-period alias support. Period source is event-spacing fallback with many candidate periods. Reject as noise/artifact despite morphology-positive CNN score."
D. High-SNR false positives,EPIC_211920612,reject_as_noise_or_artifact,0.822831,1414.66,0.304,,0,pass,true,,high_snr_false_positive,0.06,0.643324,autovet_v2_review_signal_with_caveats,fallback_period_context,"Strong dip-like morphology, but physically broken. Period = 0.62108 d / 14.91 h. Transit duration = 1.8695 d / 44.87 h, longer than the orbital period. Severe odd/even mismatch: odd_even_depth_ratio = 0.304. CNN score = 0.823 is morphology-only and should not rescue it."
D. High-SNR false positives,EPIC_211933215,reject_as_noise_or_artifact,0.731265,85.6721,,,1039,,true,,high_snr_false_positive,0.06,0.617268,autovet_v2_review_signal_with_caveats,fallback_period_context,Too weak and period-unstable. Primary depth is shallow: 0.000394. SNR is only moderate: 11.86. Period source = event_spacing_fallback. Autovet says no reliable saved period support. Candidate period count is very high: 1039. CNN score = 0.731 is morphology-only.
D. High-SNR false positives,EPIC_211935518,low_priority_negative,0.769432,227.31,0.929,,751,,true,,high_snr_false_positive,0.06,0.640441,autovet_v2_review_signal_with_caveats,fallback_period_context,"Visible dip exists and metrics are not terrible, but too noisy / unreliable to promote. Primary depth = 0.005235. SNR = 174.90. Odd/even agreement is good: ratio = 0.929. No meaningful secondary. However period source = event_spacing_fallback. Autovet says no reliable saved period support. Candidate period count is high: 751. CNN score = 0.769 is morphology-only."
D. High-SNR false positives,EPIC_211939206,low_priority_negative,0.735696,97.8051,0.712,,1671,moderate,true,,high_snr_false_positive,0.06,0.630995,autovet_v2_review_signal_with_caveats,fallback_period_context,"Best-looking noise case. Some transit-like dip morphology exists, but validation is weak. Primary depth = 0.001054. SNR = 43.47. Odd/even agreement is imperfect: ratio = 0.712, delta = 0.310. Alias risk = moderate. Strong alias/double-period support: alias_best_period_days = 3.16692, support_ratio = 0.889. Period source = event_spacing_fallback. Candidate period count is extremely high: 1671. CNN score = 0.736 is morphology-only."
D. High-SNR false positives,EPIC_211942823,reject_as_noise_or_artifact,0.687399,92.0631,0.702,,1049,high,true,,high_snr_false_positive,0.06,0.610705,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual visual review sees no convincing dip; folded view appears essentially flat / line-like. Primary depth is shallow: 0.000423. SNR = 13.01. Period = 0.20432 d / 4.90 h. Transit duration = 0.36777 d / 8.83 h, longer than the orbital period. Odd/even agreement is weak: ratio = 0.702. Alias risk = high. Period source = event_spacing_fallback. Candidate period count is high: 1049."
D. High-SNR false positives,EPIC_211945592,reject_as_noise_or_artifact,0.681645,178.528,0.845,0.249,1248,,true,,high_snr_false_positive,0.06,0.615861,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review suggests heavy noise and/or possible EB-like contamination. Primary depth = 0.002213. SNR = 119.76, but likely driven by structured noise / non-planet morphology. OOT variability is high: oot_variability_to_depth = 0.249. Odd/even is only moderately acceptable: ratio = 0.845. Period source = event_spacing_fallback. Candidate period count = 1248. CNN score = 0.682 is morphology-only and does not rescue it."
D. High-SNR false positives,EPIC_211949114,reject_as_noise_or_artifact,0.661673,142.684,0.885,0.288,1258,,true,,high_snr_false_positive,0.06,0.610268,autovet_v2_review_signal_with_caveats,fallback_period_context,Manual review classifies this as noise despite some decent metrics. Primary depth = 0.001353. SNR = 87.44. Odd/even is decent: ratio = 0.885. No detected secondary. But OOT variability is high: oot_variability_to_depth = 0.288. Period source = event_spacing_fallback. Candidate period count = 1258. Context is too unstable for promotion.
D. High-SNR false positives,EPIC_211952381,reject_as_noise_or_artifact,0.822656,87.6861,0.717,0.355,0,pass,true,,high_snr_false_positive,0.06,0.655344,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review suggests noise / possible EB-like morphology. Stage F already held it due to poor visual/metric confidence. Primary depth = 0.001463. SNR = 18.06. Odd/even is weak: ratio = 0.717. OOT variability is high: oot_variability_to_depth = 0.355. Period source = saved_validation_period, but metrics and visual confidence still fail. Reject despite saved period support."
D. High-SNR false positives,EPIC_211975006,reject_as_noise_or_artifact,0.761132,786.254,0.911,,1448,,true,,high_snr_false_positive,0.06,0.638117,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review calls this a perfect noise case despite strong-looking numbers. Primary depth = 0.004142. SNR = 409.32, but not trusted due to noisy / artifact-like context. Odd/even is fairly good: ratio = 0.911. No convincing positive secondary. Transit duration is long: 13.24 h at P = 3.08007 d. Period source = event_spacing_fallback. Candidate period count = 1448. CNN score = 0.761 is morphology-only and should not override manual rejection."
D. High-SNR false positives,EPIC_211977407,reject_as_noise_or_artifact,0.673597,174.214,0.828,0.432,1574,,true,,high_snr_false_positive,0.06,0.613607,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review not convinced; noise-like despite some acceptable numbers. No secondary eclipse detected, but not enough to rescue it. Primary depth = 0.001346. SNR = 18.58. Odd/even imperfect: ratio = 0.828. OOT variability high: oot_variability_to_depth = 0.432. Long duration: 10.79 h at P = 4.62576 d. Period source = event_spacing_fallback. Candidate period count = 1574."
D. High-SNR false positives,EPIC_211979334,reject_as_noise_or_artifact,0.766415,142.097,0.601,,698,moderate,true,,high_snr_false_positive,0.06,0.632085,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review classifies as poor-quality noise / artifact. Primary depth = 0.000730. SNR = 73.04, but context is weak. Odd/even poor: ratio = 0.601. Transit duration long: 12.26 h at P = 3.92696 d. Alias risk = moderate. Strong half-period alias support: support_ratio = 0.857. Period source = event_spacing_fallback. Candidate period count = 698."
D. High-SNR false positives,EPIC_211980250,reject_as_noise_or_artifact,0.798509,967.711,0.928,,476,,true,,high_snr_false_positive,0.06,0.625705,autovet_v2_review_signal_with_caveats,fallback_period_context,Manual review rejects despite strong-looking metrics. Primary depth = 0.014447. SNR = 306.85. Odd/even good: ratio = 0.928. OOT/depth low: 0.023. No secondary eclipse detected. But visual/manual confidence is not candidate-like. Long duration: 12.26 h at P = 2.97623 d. Large radius ratio estimate: 0.120. Period source = event_spacing_fallback. Candidate period count = 476.
D. High-SNR false positives,EPIC_212007527,reject_as_noise_or_artifact,0.670286,52.4107,,,7655,,true,,high_snr_false_positive,0.06,0.610522,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review says no; not convincing as candidate. Primary depth is very shallow: 0.000408. SNR is modest: 12.24. Period source = event_spacing_fallback. Candidate period count is enormous: 7655. Half-period and double-period support are both strong. OOT is not terrible, but period ambiguity is too severe."
D. High-SNR false positives,EPIC_212020442,reject_as_noise_or_artifact,0.896793,55.3006,0.815,,0,moderate,true,,high_snr_false_positive,0.06,0.660691,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review indicates no convincing period / period solution not trustworthy. Primary depth is shallow: 0.000683. SNR is weak: 7.60. Odd/even only moderate: ratio = 0.815. Alias risk = moderate. Strong alternate-period support: alias_best_period_days = 11.768625, support_ratio = 0.875. Master next action was run_period_search_before_label_update. Treat as period failure / noise, not candidate."
D. High-SNR false positives,EPIC_212025784,reject_as_noise_or_artifact,0.707795,167.93,0.913,0.718,1301,,true,,high_snr_false_positive,0.06,0.623183,autovet_v2_review_signal_with_caveats,fallback_period_context,"Perfect noise / artifact. Primary depth = 0.002349. SNR = 76.34, but not trusted due to noisy context. Odd/even fairly good: ratio = 0.913. OOT variability is very high: oot_variability_to_depth = 0.718. Long duration: 12.01 h at P = 3.74308 d. Period source = event_spacing_fallback. Candidate period count = 1301. Half-period and double-period support both high."
E. Good odd/even false positives,EPIC_211529191,noise_or_artifact,0.922508,24.6501,,,0,,true,,good_odd_even_false_positive,0.06,0.644677,autovet_v2_review_signal_with_caveats,fallback_period_context,"Very shallow signal with weak/modest primary SNR around 4.62 and limited event support. Odd/even consistency is acceptable but not especially strong, and there is no secondary eclipse, but the period source is event-spacing fallback with many candidate periods and no convincing planet-like evidence beyond morphology-positive CNN scoring. Reject as noise/artifact rather than continue holding."
E. Good odd/even false positives,EPIC_211730838,binary_system,0.989619,11.82,0.996,0.27,0,low,true,,good_odd_even_false_positive,0.38,0.35638,autovet_v2_false_positive_eb_or_variable,fallback_period_context; eb_or_binary_context; validation_reject_context,"Strong coherent eclipsing signal with excellent odd/even consistency, ratio about 0.996 and explicit delta about 0.004, many repeated events, saved validation period support, low alias risk, and no significant secondary eclipse. However the primary depth is extremely large at about 0.099, implying radius ratio about 0.315, which is too deep for a typical planet-like candidate and is more consistent with an eclipsing binary, stellar companion, or blend. OOT variability is also non-trivial at about 0.27x transit depth. Reject from the planet candidate pipeline, but keep as a real eclipsing-signal / binary-system case rather than noise."
E. Good odd/even false positives,EPIC_211781094,noise_or_artifact,0.917082,16.7118,,,0,,true,,good_odd_even_false_positive,0.06,0.640147,autovet_v2_review_signal_with_caveats,fallback_period_context,"Some signal-like features may be present, but the detection is not credible as a planet-like candidate. The measured primary depth is extremely large at about 0.217, implying radius ratio about 0.466, while primary SNR is weak around 3.34 and event support is limited. Odd/even consistency is acceptable and there is no detected secondary eclipse, but the period source is event-spacing fallback with many candidate periods and the signal appears unreliable. Reject as noise/artifact or bad folded-event fit rather than promote or hold."
E. Good odd/even false positives,EPIC_211844348,noise_or_artifact,0.80625,59.0231,0.949,,0,,true,,good_odd_even_false_positive,0.06,0.632132,autovet_v2_review_signal_with_caveats,fallback_period_context,"Manual review favors noise/artifact despite superficially acceptable diagnostics. The signal is very shallow, and the apparent duration is fairly long at about 5.88 hours. Odd/even consistency is good with ratio about 0.949 and no detected secondary eclipse, but the period source is event-spacing fallback with many candidate periods, and the visual signal is not convincing enough to justify holding. Reject as noise/artifact despite morphology-positive CNN score."
E. Good odd/even false positives,EPIC_211935518,low_priority_negative,0.769432,227.31,0.929,,751,,true,,good_odd_even_false_positive,0.06,0.640441,autovet_v2_review_signal_with_caveats,fallback_period_context,"Visible dip exists and metrics are not terrible, but too noisy / unreliable to promote. Primary depth = 0.005235. SNR = 174.90. Odd/even agreement is good: ratio = 0.929. No meaningful secondary. However period source = event_spacing_fallback. Autovet says no reliable saved period support. Candidate period count is high: 751. CNN score = 0.769 is morphology-only."
