stage_g_rank,epic_id,stage_g_calibrated_score,stage_g_review_tier,stage_g_ledger_review_action,stage_g_review_reason,flux_p_science_like,stage_d_quality_score,stage_f_quality_score,stage_g_odd_even_penalty_component,stage_g_secondary_penalty_component,stage_g_oot_penalty_component,stage_g_alias_penalty_component,training_label_v3,science_binary_v3,source_batch,final_candidate_status,review_bin,visual_label,final_candidate_rank,final_recommendation,candidate_summary_md_path,stage_d_reason,stage_r_reason,events_csv
11,EPIC_211569204,0.5750839242431343,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.686; score=0.575; flux>=0.60,0.6856498718261719,0.6338573102462901,0.7791552700078092,0.7912921468524052,0.0,0.2490601859629138,0.0272727272727272,noise_or_artifact,not_science_like,,,,,,,,period_support_count=11; depth_consistency=0.874; duration_consistency=0.794; validated cache-light-curve support,promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.080,plots\k2_batch\epics\EPIC_211569204\events.csv
12,EPIC_211954033,0.559286501829895,C_flux_triage_deeper_vetting,known_positive_below_pass_threshold_recheck_features,flux=0.669; score=0.559; flux>=0.60,0.6687077879905701,0.7606405369679347,0.7542135646601965,0.6176105836238582,0.0,0.503984346322435,0.4666666666666668,candidate_like,science_like,stage_f_next10_batch2_verified_five,promote_candidate_alias_check,promoted_candidate_alias_check,visual_promote_candidate_alias_check,,,,period_support_count=12; depth_consistency=0.838; duration_consistency=0.978; validated cache-light-curve support,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.231,plots\k2_batch\epics\EPIC_211954033\events.csv
13,EPIC_211910082,0.5365492634284242,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.636; score=0.537; flux>=0.60,0.6361042261123657,0.7086768217347388,0.7526449447673036,0.7613164433108354,0.0,0.1172784438035296,0.55,noise_or_artifact,not_science_like,,,,,,,,period_support_count=8; depth_consistency=0.883; duration_consistency=0.979; validated cache-light-curve support,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.158,plots\k2_batch\epics\EPIC_211910082\events.csv
14,EPIC_211551640,0.5324351510214621,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.637; score=0.532; flux>=0.60,0.6369973421096802,0.7981880275843733,0.723892413373141,0.7357839975787882,0.0,0.564433818835914,0.4428571428571428,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=21; depth_consistency=0.936; duration_consistency=1.000; validated cache-light-curve support,promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.219,plots\k2_batch\epics\EPIC_211551640\events.csv
15,EPIC_212003686,0.525970995083221,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.652; score=0.526; flux>=0.60; hard_fp_penalty,0.6519076824188232,0.7804350216355603,0.8371661947886296,1.0,0.0,0.6672173431597452,0.3,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=18; depth_consistency=0.686; duration_consistency=0.896; validated cache-light-curve support,promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042,plots\k2_batch\epics\EPIC_212003686\events.csv
16,EPIC_211520800,0.5207721037801363,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.654; score=0.521; flux>=0.60; hard_fp_penalty,0.6537245512008667,0.6245700775705227,0.6453994872749055,1.0,0.0,0.0056827947854913,0.0,low_priority_negative,not_science_like,,,,,,,,period_support_count=12; depth_consistency=0.770; duration_consistency=0.875; validated cache-light-curve support,promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.077,plots\k2_batch\epics\EPIC_211520800\events.csv
17,EPIC_211889692,0.5162374806652315,C_flux_triage_deeper_vetting,known_positive_below_pass_threshold_recheck_features,flux=0.648; score=0.516; flux>=0.60; hard_fp_penalty,0.6479401588439941,0.9103772815812514,0.65,1.0,0.0,1.0,0.0,planet_like,science_like,positive_controls,recovered_known_confirmed_planet,recovered_positive_control,,2.0,followup_candidate_with_variability_caution,plots\k2_batch\stage_g_dossiers\EPIC_211889692\candidate_summary.md,period_support_count=21; depth_consistency=0.891; duration_consistency=0.792; validated cache-light-curve support,promote: 15 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.038,plots\k2_batch\epics\EPIC_211889692\events.csv
18,EPIC_211955365,0.47761821903638724,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.621; score=0.478; flux>=0.60,0.6209514737129211,0.652386431029926,0.6295794524686625,0.4722063416975644,0.0,0.7182954004213948,0.0142857142857142,low_priority_negative,not_science_like,,,,,,,,period_support_count=14; depth_consistency=0.719; duration_consistency=0.750; validated cache-light-curve support,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250,plots\k2_batch\epics\EPIC_211955365\events.csv
19,EPIC_211947686,0.4728323039488571,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.700; score=0.473; flux>=0.60; hard_fp_penalty,0.699910044670105,0.6237533045153688,0.6947946471252513,1.0,0.0,0.1847023524983243,0.55,noise_or_artifact,not_science_like,,,,,,,,period_support_count=8; depth_consistency=0.895; duration_consistency=0.870; validated cache-light-curve support,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.200,plots\k2_batch\epics\EPIC_211947686\events.csv
20,EPIC_211739276,0.46018476913986905,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.677; score=0.460; flux>=0.60; hard_fp_penalty,0.6772735118865967,0.5709689161691899,0.7656862366552344,0.9783566082325306,0.0,0.3666100397005007,0.1,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=15; depth_consistency=0.801; duration_consistency=0.667; validated cache-light-curve support,promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.378,plots\k2_batch\epics\EPIC_211739276\events.csv
21,EPIC_211972767,0.4538473393996448,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.673; score=0.454; flux>=0.60; hard_fp_penalty,0.6733503341674805,0.6953084451485491,0.6218610543509117,1.0,0.0112319740763012,0.8342118083497416,0.0826086956521739,variable_or_artifact,not_science_like,,,,,,,,"finite period with support=23, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.091,plots\k2_batch\epics\EPIC_211972767\events.csv
22,EPIC_211554121,0.4449361577247054,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.675; score=0.445; flux>=0.60; hard_fp_penalty,0.6750602722167969,0.597343576267107,0.6273422083277186,1.0,0.0,0.3823021342176039,0.0,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=15; depth_consistency=0.860; duration_consistency=0.667; validated cache-light-curve support,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250,plots\k2_batch\epics\EPIC_211554121\events.csv
23,EPIC_211818652,0.43920839335261347,D_hold_or_reject_review,hold_or_reject_review,flux=0.563; score=0.439; flux<0.60,0.5625735521316528,0.6102874730828849,0.25,0.5286565755098398,0.0,0.0,0.0,,unresolved,,,,,,,,period_support_count=10; depth_consistency=0.815; duration_consistency=0.727; validated cache-light-curve support,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.148,plots\k2_batch\epics\EPIC_211818652\events.csv
24,EPIC_211563576,0.4387572944819473,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.645; score=0.439; flux>=0.60; hard_fp_penalty,0.645002007484436,0.6722653965897453,0.5966964800146306,1.0,0.0,0.4687876265871206,0.1,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_visual_review,visual_reject_after_manual_review,,,,period_support_count=15; depth_consistency=0.691; duration_consistency=1.000; validated cache-light-curve support,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.303,plots\k2_batch\epics\EPIC_211563576\events.csv
25,EPIC_211555255,0.43739334991494294,D_hold_or_reject_review,hold_or_reject_review,flux=0.400; score=0.437; flux<0.60; hard_fp_penalty,0.4000849425792694,0.7270512902601984,0.6889836684977515,0.3404098340360366,0.314834901966917,0.9448375946887464,0.0,noise_or_artifact,not_science_like,stage_f_next10_batch1,reject_manual_false_positive,manual_false_positive_noise_or_variability,visual_reject_noise_or_variability,,,,period_support_count=20; depth_consistency=0.871; duration_consistency=0.556; validated cache-light-curve support,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.079,plots\k2_batch\epics\EPIC_211555255\events.csv
26,EPIC_211926132,0.43407002463504935,C_flux_triage_deeper_vetting,closed_negative_do_not_reopen_without_new_evidence,flux=0.676; score=0.434; flux>=0.60; hard_fp_penalty,0.6761777400970459,0.7819009475612353,0.4929248145010254,1.0,0.0,1.0,0.0142857142857142,uncertain_hold,not_science_like,stage_f_next10_batch2_verified_five,hold_low_priority_candidate,candidate_hold,visual_hold_low_priority_candidate,,,,period_support_count=14; depth_consistency=0.905; duration_consistency=0.769; validated cache-light-curve support,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.042,plots\k2_batch\epics\EPIC_211926132\events.csv
27,EPIC_211908778,0.4320067276000278,C_flux_triage_deeper_vetting,known_positive_below_pass_threshold_recheck_features,flux=0.656; score=0.432; flux>=0.60; hard_fp_penalty,0.6561423540115356,0.6186052526996079,0.25,1.0,0.0,0.0,0.0,candidate_like,science_like,,,,,,,,"finite period with support=22, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.094,plots\k2_batch\epics\EPIC_211908778\events.csv
28,EPIC_211538087,0.4304848944292039,D_hold_or_reject_review,hold_or_reject_review,flux=0.529; score=0.430; flux<0.60,0.5293968319892883,0.6053360630624074,0.25,0.4117881348085296,0.0,0.0,0.0,,unresolved,,,,,,,,period_support_count=11; depth_consistency=0.648; duration_consistency=0.618; validated cache-light-curve support,promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.206,plots\k2_batch\epics\EPIC_211538087\events.csv
29,EPIC_211833851,0.421272179037289,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.702; score=0.421; flux>=0.60; hard_fp_penalty,0.7019983530044556,0.6164272422704219,0.5841881453810841,1.0,0.0,0.2061996920312498,0.6333333333333333,noise_or_artifact,not_science_like,,,,,,,,period_support_count=9; depth_consistency=0.843; duration_consistency=0.750; validated cache-light-curve support,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.185,plots\k2_batch\epics\EPIC_211833851\events.csv
30,EPIC_211404127,0.40196523850406085,C_flux_triage_deeper_vetting,known_positive_below_pass_threshold_recheck_features,flux=0.626; score=0.402; flux>=0.60; hard_fp_penalty,0.626497745513916,0.605960132484216,0.25,1.0,0.0,0.0,0.0,candidate_like,science_like,,,,,,,,"finite period with support=18, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.217,plots\k2_batch\epics\EPIC_211404127\events.csv
31,EPIC_211813858,0.3952477504583833,D_hold_or_reject_review,hold_or_reject_review,flux=0.569; score=0.395; flux<0.60; hard_fp_penalty,0.5686697959899902,0.71088861020503,0.5576843546093941,0.9045252587944296,0.0,0.8028653317625861,0.223076923076923,low_priority_negative,not_science_like,,,,,,,,period_support_count=13; depth_consistency=0.827; duration_consistency=0.857; validated cache-light-curve support,promote: 11 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.139,plots\k2_batch\epics\EPIC_211813858\events.csv
32,EPIC_211936906,0.39233190714426647,C_flux_triage_deeper_vetting,unresolved_flux_triage_when_queue_reopens,flux=0.703; score=0.392; flux>=0.60; hard_fp_penalty,0.7025758028030396,0.4995220824050547,0.25,1.0,0.0,0.0,0.0,,unresolved,,,,,,,,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.200,plots\k2_batch\epics\EPIC_211936906\events.csv
33,EPIC_211732801,0.38158257891519914,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.970; score=0.382; flux>=0.60; hard_fp_penalty,0.970463216304779,0.6903658530804826,0.4356245751374086,0.316852943499076,1.0,0.6448358374884684,0.6333333333333333,binary_system,not_science_like,,,,,,,,period_support_count=15; depth_consistency=0.682; duration_consistency=0.667; validated cache-light-curve support,promote: 4 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267,plots\k2_batch\epics\EPIC_211732801\events.csv
34,EPIC_211552564,0.38016967503281995,C_flux_triage_deeper_vetting,unresolved_flux_triage_when_queue_reopens,flux=0.661; score=0.380; flux>=0.60; hard_fp_penalty,0.6611554622650146,0.5840028798182156,0.25,1.0,0.0,0.0,0.0,,unresolved,,,,,,,,period_support_count=12; depth_consistency=0.681; duration_consistency=0.793; validated cache-light-curve support,promote: 5 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.259,plots\k2_batch\epics\EPIC_211552564\events.csv
35,EPIC_211598703,0.37191675440356986,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.704; score=0.372; flux>=0.60; hard_fp_penalty,0.7037513256072998,0.4680147363089244,0.25,1.0,0.0,0.0,0.0,noise_or_artifact,not_science_like,,,,,,,,"finite period with support=10, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 13 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.300,plots\k2_batch\epics\EPIC_211598703\events.csv
36,EPIC_211759361,0.37075829219790357,C_flux_triage_deeper_vetting,known_positive_below_pass_threshold_recheck_features,flux=0.710; score=0.371; flux>=0.60; hard_fp_penalty,0.7104972004890442,0.4742810798770479,0.25,1.0,0.0,0.0,0.0,candidate_like,science_like,,,,,,,,"finite period with support=9, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.304,plots\k2_batch\epics\EPIC_211759361\events.csv
37,EPIC_211887206,0.36910753570327115,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.692; score=0.369; flux>=0.60; hard_fp_penalty,0.6916623115539551,0.6535368834776326,0.4730456955882819,1.0,0.0,1.0,0.1333333333333334,low_priority_negative,not_science_like,,,,,,,,period_support_count=12; depth_consistency=0.750; duration_consistency=0.591; validated cache-light-curve support,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.121,plots\k2_batch\epics\EPIC_211887206\events.csv
38,EPIC_211746706,0.3653037581969134,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.649; score=0.365; flux>=0.60; hard_fp_penalty,0.6493770480155945,0.5044995336082114,0.25,1.0,0.0,0.0,0.0,noise_or_artifact,not_science_like,,,,,,,,"finite period with support=14, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.250,plots\k2_batch\epics\EPIC_211746706\events.csv
39,EPIC_211562803,0.3623755123002591,D_hold_or_reject_review,hold_or_reject_review,flux=0.551; score=0.362; flux<0.60; hard_fp_penalty,0.5512091517448425,0.5895429362795407,0.25,1.0,0.0,0.0,0.0,uncertain_hold,unresolved,,,,,,,,period_support_count=11; depth_consistency=0.746; duration_consistency=0.800; validated cache-light-curve support,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.129,plots\k2_batch\epics\EPIC_211562803\events.csv
40,EPIC_211423229,0.36003243302143906,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.671; score=0.360; flux>=0.60; hard_fp_penalty,0.6713709831237793,0.4448676873361398,0.25,1.0,0.0,0.0,0.0,noise_or_artifact,not_science_like,,,,,,,,"finite period with support=7, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 12 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.125,plots\k2_batch\epics\EPIC_211423229\events.csv
41,EPIC_211791780,0.3596994630726289,D_hold_or_reject_review,hold_or_reject_review,flux=0.512; score=0.360; flux<0.60,0.5116586685180664,0.562358093844284,0.25,0.8504681497897598,0.0,0.0,0.0,uncertain_hold,unresolved,,,,,,,,period_support_count=10; depth_consistency=0.675; duration_consistency=0.667; validated cache-light-curve support,promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.107,plots\k2_batch\epics\EPIC_211791780\events.csv
42,EPIC_211631955,0.35651886635448243,C_flux_triage_deeper_vetting,unresolved_flux_triage_when_queue_reopens,flux=0.633; score=0.357; flux>=0.60; hard_fp_penalty,0.6326863169670105,0.4659918014242526,0.25,1.0,0.0,0.0,0.0,uncertain_hold,unresolved,,,,,,,,"finite period with support=15, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 6 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=18; spike_fraction_2cadence=0.069,plots\k2_batch\epics\EPIC_211631955\events.csv
43,EPIC_211821200,0.35557360541017513,D_hold_or_reject_review,hold_or_reject_review,flux=0.595; score=0.356; flux<0.60; hard_fp_penalty,0.5946117639541626,0.528257375788598,0.25,1.0,0.0,0.0,0.0,uncertain_hold,unresolved,,,,,,,,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 10 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.074,plots\k2_batch\epics\EPIC_211821200\events.csv
44,EPIC_211537297,0.34499223192356665,C_flux_triage_deeper_vetting,unresolved_flux_triage_when_queue_reopens,flux=0.693; score=0.345; flux>=0.60; hard_fp_penalty,0.6927534937858582,0.4268644996290671,0.25,1.0,0.0,0.0,0.0,uncertain_hold,unresolved,,,,,,,,"finite period with support=11, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=22; spike_fraction_2cadence=0.286,plots\k2_batch\epics\EPIC_211537297\events.csv
45,EPIC_211306307,0.3348284082469124,C_flux_triage_deeper_vetting,hold_or_reject_review,flux=0.623; score=0.335; flux>=0.60; hard_fp_penalty,0.6227284073829651,0.4631947460317505,0.25,1.0,0.0,0.0,0.0,noise_or_artifact,not_science_like,,,,,,,,"finite period with support=16, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 7 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=23; spike_fraction_2cadence=0.267,plots\k2_batch\epics\EPIC_211306307\events.csv
46,EPIC_211686773,0.32159473614577905,D_hold_or_reject_review,hold_or_reject_review,flux=0.400; score=0.322; flux<0.60; hard_fp_penalty,0.4003331363201141,0.5405557700843742,0.25,1.0,0.0,0.0,0.0,,unresolved,,,,,,,,"finite period with support=17, but deeper-eval guardrails are incomplete or marginal; reason=validated",promote: 9 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=24; spike_fraction_2cadence=0.062,plots\k2_batch\epics\EPIC_211686773\events.csv
47,EPIC_211511562,0.3183505454900529,D_hold_or_reject_review,hold_or_reject_review,flux=0.412; score=0.318; flux<0.60; hard_fp_penalty,0.4124777317047119,0.5636595419241336,0.25,1.0,0.0,0.0,0.0,,unresolved,,,,,,,,period_support_count=11; depth_consistency=0.764; duration_consistency=0.763; validated cache-light-curve support,promote: 8 events have duration_cadences>=10 and shape_score>=0.74; max_duration_cadences=21; spike_fraction_2cadence=0.103,plots\k2_batch\epics\EPIC_211511562\events.csv
